frame;timestamp;x;y;z;speed;hState;vState;isOnSlope;crouchingOn
255;21,12339;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
260;21,20737;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
265;21,29138;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
270;21,37518;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
275;21,45856;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
280;21,54029;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
285;21,62601;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
290;21,70618;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
295;21,79011;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
300;21,87372;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
305;21,95726;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
310;22,04148;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
315;22,12471;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
320;22,20727;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
325;22,29224;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
330;22,37586;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
335;22,45703;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
340;22,54108;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
345;22,62597;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
350;22,70861;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
355;22,79248;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
360;22,87343;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
365;22,95823;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
370;23,0407;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
375;23,1251;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
380;23,2086;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
385;23,29091;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
390;23,37476;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
395;23,45712;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
400;23,54094;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
405;23,62557;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
410;23,70679;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
415;23,79125;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
420;23,87483;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
425;23,95881;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
430;24,04103;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
435;24,12507;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
440;24,20867;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
445;24,28957;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
450;24,37317;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
455;24,45719;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
460;24,54103;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
465;24,62531;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
470;24,70614;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
475;24,78995;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
480;24,87361;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
485;24,95701;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
490;25,04167;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
495;25,12427;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
500;25,20724;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
505;25,2903;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
510;25,37433;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
515;25,45743;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
520;25,54102;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
525;25,62468;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
530;25,70825;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
535;25,79153;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
540;25,87511;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
545;25,95871;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
550;26,042;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
555;26,12268;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
560;26,20647;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
565;26,29009;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
570;26,3744;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
575;26,45649;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
580;26,54232;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
585;26,62287;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
590;26,70644;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
595;26,79042;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
600;26,87499;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
605;26,95814;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
610;27,04244;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
615;27,1257;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
620;27,20638;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
625;27,29053;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
630;27,37572;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
635;27,45682;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
640;27,54133;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
645;27,62494;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
650;27,70588;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
655;27,78988;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
660;27,87612;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
665;27,9568;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
670;28,04142;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
675;28,12491;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
680;28,20649;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
685;28,2901;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
690;28,37393;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
695;28,45703;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
700;28,54086;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
705;28,62428;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
710;28,70768;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
715;28,79153;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
720;28,87553;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
725;28,95623;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
730;29,04019;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
735;29,12345;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
740;29,20697;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
745;29,29215;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
750;29,37458;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
755;29,45832;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
760;29,54243;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
765;29,62287;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
770;29,70699;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
775;29,79137;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
780;29,87328;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
785;29,9587;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
790;30,04164;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
795;30,12523;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
800;30,20662;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
805;30,29068;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
810;30,37524;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
815;30,45715;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
820;30,54194;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
825;30,6239;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
830;30,70793;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
835;30,79158;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
840;30,87367;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
845;30,95737;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
850;31,04182;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
855;31,12378;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
860;31,20718;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
865;31,29209;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
870;31,3727;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
875;31,45908;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
880;31,53937;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
885;31,62469;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
890;31,70648;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
895;31,79213;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
900;31,87312;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
905;31,95697;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
910;32,04175;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
915;32,12528;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
920;32,20773;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
925;32,29244;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
930;32,37524;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
935;32,45871;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
940;32,53955;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
945;32,62384;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
950;32,70732;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
955;32,79109;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
960;32,87539;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
965;32,95812;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
970;33,04163;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
975;33,12535;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
980;33,20603;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
985;33,29034;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
990;33,37401;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
995;33,4571;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1000;33,54107;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1005;33,62458;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1010;33,70942;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1015;33,78996;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1020;33,87425;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1025;33,95897;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1030;34,0401;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1035;34,12585;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1040;34,20831;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1045;34,29073;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1050;34,37515;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1055;34,4581;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1060;34,53963;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1065;34,62394;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1070;34,71566;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1075;34,79735;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1080;34,88142;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1085;34,96525;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1090;35,05055;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1095;35,1317;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1100;35,21602;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1105;35,2998;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1110;35,38268;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1115;35,46403;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1120;35,54804;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1125;35,63339;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1130;35,71553;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1135;35,79835;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1140;35,89292;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1145;35,97493;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1150;36,06035;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1155;36,14388;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1160;36,22654;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1165;36,30973;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1170;36,39464;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1175;36,47709;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1180;36,56041;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1185;36,644;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1190;36,72584;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1195;36,81038;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1200;36,89124;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1205;36,97659;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1210;37,06082;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1215;37,1442;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1220;37,22693;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1225;37,31066;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1230;37,39484;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1235;37,47699;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1240;37,56102;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1245;37,64158;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1250;37,72801;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1255;37,8083;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1260;37,89269;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1265;37,97551;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1270;38,06067;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1275;38,14503;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1280;38,22701;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1285;38,30851;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1290;38,39235;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1295;38,47603;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1300;38,55803;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1305;38,64152;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1310;38,72532;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1315;38,81045;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1320;38,89361;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1325;38,97578;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1330;39,28083;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1335;39,36494;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1340;39,44844;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1345;39,53298;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1350;39,61546;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1355;39,69747;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1360;39,78138;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1365;39,86482;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1370;39,94862;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1375;40,03235;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1380;40,11591;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1385;40,1969;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1390;40,28156;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1395;40,36639;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1400;40,44699;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1405;40,53304;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1410;40,61404;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1415;40,69799;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1420;40,78271;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1425;40,86533;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1430;40,94916;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1435;41,03042;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1440;41,11409;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1445;41,19933;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1450;41,28033;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1455;41,36369;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1460;41,4492;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1465;41,53136;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1470;41,61507;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1475;41,69791;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1480;41,78248;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1485;41,86678;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1490;41,94931;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1495;42,03053;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1500;42,11483;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1505;42,19809;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1510;42,28214;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1515;42,36492;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1520;42,44925;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1525;42,5327;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
1530;42,61458;0;41,90001;-48,00519;0;PlayerIdleState;PlayerGroundedState;True;none
